author,date,headlines,read_more,text,ctext
Chhavi Tyagi,"02 Aug 2017,Wednesday","Teacher stripped girls for poor marks, school denies charges",http://www.hindustantimes.com/dehradun/haridwar-teacher-accused-of-stripping-girls-for-poor-performance-school-refutes/story-sKl0HVlTCoEfgpg736PhQP.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"A teacher of a private school in Haridwar district of Uttarakhand has been accused of stripping two girls in front of the class for performing poorly in a test held for English subject. While the parents of the girls lodged a complaint against the teacher and the school management, the allegation has been refuted by the school authorities. ","A teacher of a private school in Haridwar district has been accused of stripping two girls in front of the class for performing poorly in a test held for English subject, an allegation refuted by the school management.According to police, a female teacher at JP International Public School in rural belt of Landaura forcefully stripped the two girls in a bid to shame them for their poor performance in the test. The incident left the girls shocked. After returning home on Tuesday noon, they informed their parents, who lodged a complaint against the teacher and the school management. Agitated by the incident, villagers gathered with the parents at the police station and staged a protest.Both the students belong to scheduled caste and therefore, police are moving very cautiously.Meanwhile, principal of JP Inter College Amita Rathore refuted the allegations of the girls and their parents, saying nothing such occurred in the school.Rathore termed the charges as baseless, saying the parents were trying to frame the English teacher and school management to ?malign our image?.?Whatever we have to say we have told the investigating police officer. How can a teacher force girl students to undress and make her roam in entire class?? she asked.A complaint has been lodged against the teacher and police are investigating the matter, superintendent of police (rural), Manikant Mishra said, adding that the case has been handed over to women helpline sub-inspector Pramila Bisht.?Parents and local people?s delegation, who met me, have been assured of due legal action and time-bound investigation,? Mishra said.District education officer (primary schools), Brahmpal Saini said that if such an incident had taken place, then it is quite shocking and a serious matter. He has sought a report from the deputy education officer and promised punitive action against the teacher and school the management, if the charges are found true."
Krishna Veera Vanamali,"02 Aug 2017,Wednesday",Successive governments short-changed Air India: TMC leader,http://indiatoday.intoday.in/story/successive-govts-short-changed-air-india-dinesh-trivedi/1/1016935.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"TMC leader Dinesh Trivedi has said that successive governments have ""short changed"" Air India by treating it like their private properties. Trivedi urged the government to reconsider its decision to privatise it. ""As the government operates BSNL and MTNL in communications and Doordarshan and All India Radio in broadcasting, it should have a national carrier as well,"" he added.","New Delhi, Aug 2 (PTI) Successive governments have ""short changed"" Air India by treating it like their private properties, TMC leader Dinesh Trivedi said today as he urged the Centre to review the decision to divest stake in the airline. ""By just looking at the debt and ignoring the revival signs would be to take a narrow view of the situation,"" the former railway minister said. As part of efforts to revive the national carrier, the Cabinet has given in-principle approval for divestment and the final contours are being worked out by a group of ministers. ""If Air India today is in this financial situation it was not because of Air India but successive governments have short-changed Air India and treated it like their private properties and at times private airlines, be international or domestic came under category of favoured airlines,"" Trivedi told PTI. Against this backdrop, Trivedi said it is evident that there is potential for further growth of Air India if the turnaround plan continues along with other rationalisation measures. "
Krishna Veera Vanamali,"02 Aug 2017,Wednesday",British American Tobacco under probe over bribery claims,https://www.theguardian.com/business/2017/aug/01/serious-office-opens-formal-investigation-into-bat-bribery-claims?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"UK tobacco company British American Tobacco (BAT) is being investigated by the Serious Fraud Office (SFO) over allegations about involvement in bribery and corruption in Africa. BAT has denied allegations of a whistleblower who handed over multiple documents to SFO. However, BAT has said it is cooperating with UK authorities as campaigners are now urging US government to act.","Allegations that British American Tobacco was involved in bribery and corruption in Africa are being investigated by the Serious Fraud Office, despite the cigarette company?s attempts to downplay the significance of a whistleblower who handed over a dossier of evidence.BAT, now the largest tobacco company in the world after the recent merger with Reynolds, has consistently denied the allegations of Paul Hopkins, whom it employed in Africa for 13 years. When Hopkins handed over a large number of documents to the SFO in December 2015, BAT dismissed him as ?a rogue former employee?.The company later toned down its criticism, stating that it had appointed a team of external legal advisers to investigate the charges.The SFO?s inquiries have now become a formal investigation. In a statement it said it was ?investigating suspicions of corruption in the conduct of business by BAT, its subsidiaries and associated persons?. It invited members of the public to come forward with any evidence they might have.The news follows a major Guardian investigation revealing that BAT and other multinationals have used threats against at least eight African nations, demanding they axe or dilute the kind of tobacco control measures that have saved millions of lives in the west.BAT said it continued to conduct its own inquiries into Hopkins? charges. ?We have been cooperating with the Serious Fraud Office and British American Tobacco has been informed that the SFO has now opened a formal investigation. BAT intends to cooperate with that investigation,? it said.The company would not confirm whether the investigation concerned the allegations made by Hopkins.He has claimed he paid bribes on the company?s behalf to the Kenya Revenue Authority for access to information that BAT could use against its Kenyan competitor Mastermind. Hopkins also claimed that BAT Kenya had paid bribes to government officials in Burundi, Rwanda and Comoros to undermine tobacco control regulations.BAT hired the law firm Linklaters in February 2016 to conduct a ?full investigation? into the claims made by Hopkins. BAT later dropped Linklaters and appointed Slaughter and May as sole adviser on the case.Louis Charalambous, Hopkins? solicitor, said BAT had changed its tone. ?We note, with interest, that BAT have abandoned their earlier PR strategy of trying to shoot the messenger,? he said in a statement.?Paul Hopkins blew the whistle during his time at BAT and their internal team ignored him. Previously BAT tried to wriggle out by saying that Mr Hopkins had left their employ in acrimonious circumstances when, in fact, that was untrue. They also wrongly suggested that he had acted on his own, and portrayed themselves as the victims.?Now their new external law firm and revised PR strategy are silent about Mr Hopkins. They need to go further and set the record straight. The company cannot rewrite this history, and we look forward to seeing them answer these allegations in due course.?Hopkins said he had turned whistleblower at a cost to himself. ?I rejected an enhanced redundancy package designed to force me to sign a global confidentially agreement and just took statutory redundancy instead,? he said.Deborah Arnott, the chief executive of the campaigning charity Ash, said: ?At the time the allegations of fraud in Africa were first made against BAT the company accused the whistle blower of having a vendetta against the company and peddling falsehoods.?Eighteen months later and BAT is having to admit it?s under investigation by the Serious Fraud Office. The SFO must leave no stone unturned.?Matthew Myers, the president of the Campaign for Tobacco-Free Kids, called on the US government to also investigate BAT. ?The allegations against British American Tobacco are serious and should be investigated and prosecuted to the fullest extent of the law,? he said.?As British American Tobacco now operates the largest publicly traded tobacco company within the United States, we urge the US Department of Justice to also investigate the company?s alleged misconduct.?The BAT chief executive, Nicandro Durante, told the Financial Times in March that the firm would ?act in a very strong way? if wrongdoing was found to have taken place. He said: ?We are in 200 countries, so I cannot give a 100% guarantee that everything?s going to go by the book.?The SFO investigation is another blow to the company, after the US health watchdog, the Food and Drug Administration, announced tighter regulations on the tobacco industry, which hit shares in tobacco firms."
Prashanti Moktan,"02 Aug 2017,Wednesday","Not suffering from depression, it's just a big term: Kapil",http://www.hindustantimes.com/tv/kapil-sharma-breaks-silence-on-rumours-of-depression-it-is-just-a-big-term-for-me/story-qV7RWTQ8YDQ2nWY5lHFdvL.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"Comedian and television show host Kapil Sharma has said that he is not suffering from depression, while adding, ""It's just a big term for me."" He added that apart from low blood pressure, he isn't facing any health issues and is feeling perfectly fine now. Kapil also clarified he has no stress and pressure regarding The Kapil Sharma Show's TRP.","Comedian and TV?show host Kapil Sharma has finally spoken on the rumours of his depression. In an interview to Dainik Bhaskar, Kapil cleared the air surrounding his ill health and said that he merely has blood pressure problems, not depression.According to several rumours floating around since past few months, Kapil has been under a lot of stress due to the falling TRPs of his show, The Kapil Sharma Show. ?It (depression) is just a big term for me (laughs). Apart from low blood pressure, I am not at all facing any health issues. I have started taking care of my diet and body. I am perfectly fine now,? he said in the interview.Mumbai: Comedian Kapil Sharma Bollywood actors Riteish Deshmukh and Vivek Oberoi during the promotion of film Bank Chor on the sets of The Kapil Sharma Show in Mumbai, on June 8, 2017. (Photo: IANS)
							(IANS)
						Kapil further explained how was busy juggling between his film and the show which led to stress. ?For the past few months, I was juggling my time between The Kapil Sharma Show and my film, Firangi. I was working day and night. I wasn?t getting much time to take care of my health. Also, I had stopped doing regular exercises and workouts. This led to developing low blood pressure. Now, I have changed my routine and my health is completely fine,? he said.When asked whether the falling TRPs were the cause behind his ill health, he refuted the claims entirely. ?Believe me or not, I get to hear such kind of news from the media people itself. Nobody from Sony Channel has come to me and spoken about it. In fact, the channel people have always been kind to me; they support me a lot. ?The Kapil Sharma Show? is not going off air; we are busy shooting for it,? he said.There were also rumours that Kapil made his guests on the show wait for hours before cancelling on them. ?I was under a lot of pressure and that?s fair enough. We all have our ups and down in terms of health; don?t we? I felt sick and that?s okay. It was genuine and people around me understood that. However, I did not keep anyone waiting on the set,? he said.TRPs for The Kapil Sharma Show took a nosedive since his PR nightmare of a fight with co-actor Sunil Grover on a flight where he got physically violent with him.Follow @htshowbiz for more"
Prashanti Moktan,"02 Aug 2017,Wednesday",Release of Shraddha Kapoor's 'Haseena Parkar' postponed,http://www.hindustantimes.com/bollywood/shraddha-kapoor-s-haseena-parker-release-postponed-again-here-s-why/story-KiaIEc7KmO4rKylyLIwe0L.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"The release of the Shraddha Kapoor starrer 'Haseena Parkar', which was scheduled for August 18, has been postponed. Director Apoorva Lakhia said, ""We collectively decided to postpone the film so that it can get enough screens and a worthy run at the box-office."" Earlier, the film's release was shifted to August 18 to reportedly avoid a clash with 'Jagga Jasoos'.","Shraddha Kapoor?s ambitious project Haseena Parker has been postponed again and the reason being cited is upcoming big releases in August. The film, based on the life of Dawood Ibrahim?s sister, was initially scheduled to release on July 21. It was then slated to hit the theatres on August 18. Now, in order to avoid a box office clash with Shah Rukh Khan and Akshay Kumar?s film, the makers have decided to push the release date for later. The new release date is yet to be announced.Shraddha Kapoor as young and old Haseena in the film.A Mid Day report quoted the film?s director Apoorva Lakhia: ?We collectively decided to postpone the film so that it can get enough screens and a worthy run at the box-office.?The movie features Dawood?s sister Haseena Parkar?s journey from age 17 to 40 and her transformation from a young girl into Aapa. Shraddha?s brother Siddhanth Kapoor plays the role of underworld don Dawood Ibrahim, accused of the 1993 Mumbai blasts in which hundreds of people lost their lives.?The decision to postpone the film was taken last week. Anil Thadani (the film?s distributor), the producers and director Apoorva Lakhia realised that August was cluttered with too many releases. They realised that Haseena will have to compete with two biggies that are releasing in the weeks before ? Shah Rukh Khan?s Jab Harry Met Sejal (August 4) and Akshay Kumar?s Toilet: Ek Prem Katha (August 11). What makes it worse is that besides Haseena Parkar, there are three releases lined up for August 18 ? Bareilly Ki Barfi, Newton and Partition 1947,? it quoted a source as saying.The Apoorva Lakhia directed film also stars Rajesh Tailang, Ankur Bhatia and Sunil Upadhyay. Follow @htshowbiz for more"
Daisy Mowke,"02 Aug 2017,Wednesday",Substance abuse is like a bad marriage: Prateik Babbar,http://indiatoday.intoday.in/story/prateik-babbar-drug-abuse-revelations/1/1016738.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"Actor Prateik Babbar, while speaking about dealing with drug addiction, said substance abuse is like a bad marriage. ""[E]ven after you quit, it haunts you for a while till people start noticing the turnaround,"" he added. Prateik further said, ""Addiction is not a moral failing, it doesn't make you a bad person even if you have made a poor choice"".","It took him five years and lot of courage to openly speak about his battle with drug addiction. After making a promising start in Bollywood, Prateik Babbar vanished from the limelight for a good five years. His absence might not have caught anybody's attention, but his return has grabbed many eyeballs. And why not? For the first time, the 30-year-old actor has openly spoken about his battle with substance abuse. When many actors shy away from talking about their issues, Prateik has come out in the open, talking about his his long battle with addiction. In an interview to Mumbai Mirror, the actor talked about addiction, recovery and his career. This is what he said. On addiction He has come to terms with complications of his life and has fought the demons of substance abuse. It was last year when he first talked about his drug addiction, and in the last one year, he has been a ""work in progress"". ""Addiction is not a moral failing, it does not make you a bad person even if you have made a poor choice. People still think I got hooked because it was 'cool' for a celebrity to indulge in recreational drugs. But for me, it was more of an escape from reality. My childhood was complicated and there were a lot of questions I didn't have answers to so I looked elsewhere for solace,"" said Prateik.  On acceptanceIt took him a while to understand that he was an addict, and he needed to get out of it as soon as possible. ""Acceptance and speaking up can help change the face of addiction. It educates those who are ailing and tells others that the stereotype of people suffering is the exception rather than the rule. Acceptance is one of the first steps to recovery,"" added the actor. On coming outPrateik came out in open about his addiction as he didn't want to keep his fans in the dark. He wanted them to be aware of the dark truth of his life. ""I'm a fighter and criticism is not an option for me. Yes, one is entitled to his/her opinion and it's human to be judgmental but everyone deserves a second chance. The idea is to move on. I want to create awareness by showcasing the boy uninterrupted so the world doesn't get to see just one side of the story,"" said the 30-year-old actor. On recoveryIt has taken him a few years to get back to his normal life and he says that with each passing day, he is making an effort to better his life. He said, ""I'm still on the road to recovery but I'm proud to have turned over a new leaf. Substance abuse is like a bad marriage, even after you quit, it haunts you for a while till people start noticing the turnaround. I'm answerable to only my conscience. And yes, people take me more seriously now that I'm no longer the hippie rave but someone committed to fitness, auditions and family.""On his careerHe began his career with the 2008 film Jaane Tu... Ya Jaane Na, and went onto bag a few promising roles in the subsequent years. However, it's been almost five years since Prateik has been seen on the big screen. But the actor is all set to bounce back. ""I'm looking for quality work and am not embarrassed to go out and ask for it. I'm also doing a lot of theatre with Jeff Goldberg because I believe it polishes your acting skills,"" he added. "
Prashanti Moktan,"02 Aug 2017,Wednesday",CBFC member made sexist remark: Babumoshai Bandookbaaz maker,http://indiatoday.intoday.in/story/babumoshai-bandookbaaz-producer-cbfc-sexist-slurs-pahlaj-nihalani/1/1016753.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"Producer of 'Babumoshai Bandookbaaz' Kiran Shroff, while talking about sexist comments she faced, has said that a Central Board of Film Certification (CBFC) member asked her how she could make a film like this being a woman. A male member added, ""But she is not a woman. Look at what she is wearing."" Kiran said that such thoughts were regressive.","The CBFC (Central Board of Film Certification) seems to have forgotten that their job is to certify, not censor. The latest victim of their scissors is Nawazuddin Siddiqui-starrer Babumoshai Bandookbaaz. The Pahlaj Nihalani-led board ordered a whopping 48 cuts to the film, and when India Today Television reached out to him, he said, ""We are just doing our job.""But this is not the worst of it. Disparaging sexist comments were allegedly made by CBFC members about the producer, Kiran Shroff, for green-lighting a film with such 'abusive' content. According to a report in Bombay Times, a female member asked her how she, as a woman, could be involved in the making of a film with so many abuses. At this point, a male member is said to have interjected, ""Inhone to pant-shirt pehni hai. Yeh aurat thodi hi hain.""Kiran told the publication, ""They had an internal discussion for an hour after the screening. First, they told us that they were giving us an A certificate. Then they told us that there are 48 cuts. We argued that if the film is for adults, then why have so many cuts. They didn't bother much, and continued to explain each cut and their logic behind it.""She added, ""In the middle of that, a lady officer turned to me and said, 'Aap aurat hokar aisi filmein kaise bana sakti hain'. And before I could speak up, a man in the committee said, 'But she is not a woman. Look at what she is wearing.' I was dumbfounded. This is such a regressive thought... Sadly, this is the kind of humiliation producers have to put up with. If they are judging me by my clothes, I can imagine the parameters they must have used to pass my film.""Babumoshai Bandookbaaz has been directed to do away with abusive words as well as 80 per cent of its ""humping"" scenes. Director Kushan Nandy was appalled and told the daily, ""First and foremost, we don't have humping scenes. They are love-making scenes. I am shocked and appalled with what has happened. If you notice the cuts, there's a sentence, 'Yeh kaahe ka c******a hai'. We use such sentences in our everyday life. The excuse given to us is that children also sneak into cinema halls to watch adult films. How is that my problem? Penalise the cinema halls for this, not the producers. The way they have dealt with our film is insulting. They humiliated Kiran which is unpardonable.""Apparently, the filmmaker has been asked to get rid of a bunch of sentences with the word ""khada"" in it. He met Pahlaj Nihalani in private to discuss the directives, but the CBFC chief had a shocking response - ""You are lucky I'm not banning your film.""Kushan said, ""When I argued that there are no grounds to do that, he retorted, 'What are these abuses? Do you plan to make a dictionary of bad words?' He even asked me to change lines like 'Maa ka lehenga' to 'Maa ka anchal'. In short, the essence of what is being said is lost. He told me, 'C*****a ko tutiya kar do.' He is basically trying to teach us to make a film. And finally, he told me to remove the line that has 'Khada' in it. He said, 'I will never let it pass because I am abused for my song Khada Hai Khada Hai to this day.' I'll fight this till the end.""Pahlaj Nihalani refused to comment on the matter.At a media interaction today, Kiran Shroff shared all that the CBFC members told her. One CBFC board member asked Kiran Shroff(producer) 'Why as a woman have you made this film?: Kushan Nandy,director #BabumoshaiBandookbaazThen another CBFC board member said 'ye to pant shirt pehne huye hain woman thodi hain': Kushan Nandy,director #BabumoshaiBandookbaazThey(CBFC) told us that we have given 48 cuts in the film: Kiran Shroff,Producer #BabumoshaiBandookbaazpic.twitter.com/NbFBDWZHSpThen Pahlaj Nihalani came and told me that I am lucky that my film is not banned: Kushan Nandy,Director #BabumoshaiBandookbaazpic.twitter.com/RHBxREjM4f"
Daisy Mowke,"02 Aug 2017,Wednesday",Can't believe a normal hug with Salman was trending: Sana,http://www.hindustantimes.com/bollywood/the-sana-khan-salman-khan-hug-she-is-furious-at-those-who-say-it-was-awkward/story-Oeb8B2PcdcR9QzwUYkZwiL.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"Actress Sana Khan, while speaking about Salman Khan hugging her on the red carpet at an awards show, said she can't believe that a normal hug was trending. ""People just blew it out of proportion because [Salman] had closed fists, and some dumb people even called it an awkward hug,"" she added while slamming those who trolled her.","Actor Sana Khan was up for a not-so-pleasant surprise on Tuesday, when a video of her hugging actor Salman Khan went viral for all the wrong reasons. Sana walked the red carpet at a recently held TV awards show in Mumbai, and when she spotted Salman, the two exchanged a hug. What made it news was Salman?s closed fists, and his shy smile. ?I still can?t believe that a normal hug was trending, trolling, and rolling,? says Sana. ?People just blew it out of proportion because [Salman] had a closed fist, and some dumb people even called it an awkward hug.? The actor adds that it?s only normal for people to wear backless clothes at a red carpet event.    There is always a wild side to an innocent face ?? Look for Big zee entertainment awards ? Gown by @nikhitatandon Earring by @caratlane Ring by @dwarkadaschandumaljewellers Styled by @sayali_vidya A post shared by Sana Khaan (@sanakhaan21) on Jul 29, 2017 at 12:15pm PDT Did she feel that Salman was uncomfortable even for a moment? Sana replies, ?Who am I to make him feel uncomfortable? It?s stupid to put somebody down by saying such a nasty thing and showing me in a wrong light. It?s not [as if] I went to hug him and he didn?t recognise me.?But why that closed fist? ?Couldn?t it be somebody?s style? Maybe he hugs like that. I don?t know. I think the best person [whom] to ask this would be Salman. [Also] He has been in the [film] industry for over 25 years, so don?t think backless even matters to him? he has seen more than that (laughs). Let?s not talk like a five-year-old and make all this sound so big,? says Sana.I?m not a psychopath to hug somebody if the person doesn?t want to talk to me. I?m not someone who makes people stand and keep talking and falling on their lap.Sana has known Salman ever since she first appeared in 2012 on the reality show Bigg Boss (which was hosted by Salman) and later worked with the actor in the 2014 film Jai Ho. Lashing out at those who are calling it a forced hug, Sana retorts, ?I?m not a psychopath to hug somebody if the person doesn?t want to talk to me. I?m not someone who makes people stand and keep talking and falling on their lap. I am on good terms with Salman; we share a rapport, I talk to him on and off, we?ve met so many times, I?ve been to his house, and we have worked together on the sets also. So there?s nothing to feel awkward [about].?The actor shares that she had a brief two-minute chat with Salman, and that may have got everyone curious. ?For a moment, Salman didn?t recognise me ? he literally told me that. [Then] he complimented me that I look very nice. And I said, ?Yes, I?ve dropped 7kg?, and he is like, ?It?s showing,?? reveals Sana.Was it the backless outfit that made the hug look ?awkward?? Sana says, ?Well, could be. Maybe he didn?t want my back bronzer to fall on his clothes. He has worked with all sexy and good-looking actresses, who would use bronzer from head to toe, so he knows that. And it?s not that he wants to feel me up or I want to feel him up. I am sorry, we have all grown up from that zone. We need to respect each other?s space and gestures.?Follow @htshowbiz for more"
Tanya Dhingra,"02 Aug 2017,Wednesday","Used to get scared of online rape, acid attack threats: Dia",http://www.hindustantimes.com/bollywood/dia-mirza-on-trolls-it-s-frightening-when-people-threaten-rape-or-acid-attack/story-fvywwyGVGPoVinz2LXcKkL.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"Dia Mirza, while talking about being trolled on social media, said she used to get frightened by the rape and acid attack threats she received online for expressing her opinion. Dia added, ""Elements...who are faceless and nameless...who harass people, (don't) need to be taken seriously...we need to be like ducks and let (trolling) be like water sliding off our backs.""","Actor Dia Mirza, who was in Delhi to walk for designer Anju Modi at the India Couture Week 2017, has not just a lovely face but also a strong mind. And that is something Twitter trolls couldn?t digest. In this era of non-stop trolling, Dia recalls how, in her early days in Bollywood, she was targeted for expressing her opinion on various issues. In recent times, Dia?s tweets have advocated water conservation on Holi and a noise-free Diwali. ?In the earlier days, when I did get trolled, it really affected and frightened me. Because when you?re told that people want to throw acid on you, or they want to rape you, or kill you, or call you anti-national because of something that you?ve said... and they ask you to move to another country... and it?s all new to you, then it really alarms you,? she says. The 35-year-old actor was trolled  on social media  when she had tweeted and urged her fans to play a dry Holi. She had written: ?The irony of the times we live in: farmers commit suicide due to drought and people waste water to ?play? #Holi. Go ahead call me anti-Hindu.? The trolls were quick to tag her as anti-national. Dia was also called intolerant when she had tweeted about wanting a cracker-free Diwali. Now, after so many years in Bollywood, Dia takes such crude reactions in her stride. The actor states that she has always voiced her opinion on issues that deeply matter to her. ?I have continued to express my opinion. I reserve my opinion for things that truly matter to me. And when you express your opinion on something that deeply matters to you, it doesn?t matter how people construe it,? she says. ?I feel that those elements on social media who are faceless and nameless, who make it their business to harass people, [don?t] need to be taken seriously. I?ve been in the public sphere long enough now to understand that we need to be like ducks and let this [trolling] be like water sliding off our backs. The only thing that matters is our own truth. The intent is what should matter,? adds the actor. Dia will be seen next in the Sanjay Dutt biopic by Rajkumar Hirani; she plays the role of Maanyata, Dutt?s wife. Speaking about her film and working with Hirani ? he is the director of such blockbusters as Lage Raho Munnabhai (2006), 3 Idiots (2009), and PK (2014) ?  Dia says, ?Rajkumar Hirani is my favourite director. (Dia worked with Hirani in Lage Raho Munnabhai, starring Sanjay Dutt as Munnabhai.) It was an absolute pleasure to be asked by him to be a part of Sanjay Dutt?s biopic. [Hirani] is one of those real people who tells stories in the most unique and honest way. I have known Sanju sir for many years and through the course of my interaction with him, I have interacted with Maanyata as well. It has been such an honour and joy working with Rajkumar Hirani, Ranbir (Kapoor, who plays Dutt?s role in biopic), Anushka (Sharma), and Vicky Kaushal.?"
Daisy Mowke,"02 Aug 2017,Wednesday","Kapil and I don't need mediator to resolve feud, says Sunil",http://www.hindustantimes.com/tv/comedian-sunil-grover-on-his-feud-with-kapil-sharma-we-don-t-need-a-mediator/story-eHTo02xn1gd6YxnAtS1AjL.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"Comedian Sunil Grover has said that there is no need for a mediator to resolve the feud between him and Kapil Sharma. ""I know [Kapil] very well. Why do I need someone else to sort things between us?"" he added. Sunil further said, ""Anyway, the best part is that the comedy didn't stop and it's continuing from both ends.""","Comedian-actor Sunil Grover has stayed away from the limelight for almost five months now ? he quit The Kapil Sharma Show (TKSS) after a fight with Kapil on board an aircraft. As he turns a year older on August 3, Sunil says that misses his audiences as much as they miss him.Asked about his plans, Sunil says, ?I want to entertain people and remain in this field. This is what I love doing, and have tried to do for all these years. Right now, I?m just in the process of thinking.?Sunil is still reticent about the mid-air brawl that severed his very successful partnership with Kapil. ?Quite often, when you say something, it shows the other person in a very bad light, though unintentionally,? says Sunil. ?What you say is perceived to be the truth and how you see facts might not really be true, and can sound demeaning for the other person. With Kapil, I?ve had a great association, and I have deep gratitude for the platform we shared.?    Neutral gear. A post shared by Sunil Grover (@whosunilgrover) on Jun 20, 2017 at 2:17am PDT Recently, Sunil shot for a special episode as Mashoor Gulati (his popular character on TKSS) to promote Salman Khan?s film Tubelight. Did the episode make him nostalgic? Was there a change of heart about TKSS? ?Mere heart ko hua kya tha jo change hona tha? My cholesterol levels are fine and there?s no blockage in my heart,? quips Sunil.In these five months, many industry colleagues have tried to bring about a patch-up between Kapil and Sunil. The latter says that there?s no need for a mediator. ?I know [Kapil] very well. Why do I need someone else to sort things between us?? says Sunil. ?We still have each other?s numbers and we haven?t changed them. But I?m thankful to those who are [still] taking the initiative; it?s so nice of them. Anyway, the best part is that the comedy didn?t stop and it?s continuing from both ends.?About the news of Kapil not keeping well, owing to the dipping TRPs of his show, Sunil says, ?I heard about this, and I can only say that he should take good care of himself.?Follow @htshowbiz for more"
Sumedha Sehra,"02 Aug 2017,Wednesday","Bible, Quran removed from Abdul Kalam's Tamil Nadu memorial",http://www.hindustantimes.com/india-news/bible-quran-removed-from-apj-abdul-kalam-s-memorial/story-GVAvKf12puMFhI38jAXuLL.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"Authorities have removed the copies of the Bible and Quran placed near APJ Abdul Kalam's memorial in Rameswaram in Tamil Nadu, following a complaint. Kalam's relatives had placed the books alongside the sculpted Bhagavad Gita placed near the statue before its inauguration. Later, a Hindu nationalist party filed a complaint saying keeping them without permission is wrong.","Indian authorities have removed a copy of the Bible and the Quran from a new statue of a former president after a complaint by a Hindu nationalist party, officials said Tuesday.The removal of the books has fuelled a religious row over a carving depicting a Hindu holy book placed next to the statue of APJ Abdul Kalam at Rameswaram in the southern state of Tamil Nadu.Kalam, who as a scientist played a leading role in India?s landmark 1998 nuclear weapons tests, was president from 2002-2007 and a strongly secular figure.The sculpted Hindu Bhagvad Gita book was placed next to the statue before it was inaugurated by Prime Minister Narendra Modi last week on the second anniversary of Kalam?s death.Relatives placed the Bible and the Quran next to the Gita in protest. That infuriated the Hindu Makka Katchi nationalist party, which said it made the complaint to police.?The authorities removed the Bible and the Quran at the site. We are also looking at the complaint filed with us,? police superintendent Om Prakash Meena said. K Prabhakaran, a member of the Hindu Makkal Katchi, told an?English newspaper, ?I respect all these books. But keeping them (at the memorial) without permission is wrong. Steps should be taken to see such things are not done again.? Authorities have since prevented photographers from taking images of the statue. Memorial officials did not respond to queries. Kalam was born into poverty and sold newspapers as a child to support his family while studying. His work on India?s own nuclear weapon earned him the nickname of ?India?s missile man?."
Chhavi Tyagi,"02 Aug 2017,Wednesday",Mob assaults man caught with woman in compromising position,http://www.hindustantimes.com/cities/mob-assaults-muslim-man-found-half-naked-with-woman-at-govt-centre-in-jharkhand/story-czewOzmBCYu5O1Cy0qHrVK.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"A 25-year-old man was on Wednesday assaulted by a mob which allegedly found him in a compromising position with a woman at a government-run centre in Bokaro, Jharkhand. The victim, found unconscious when police rescued him from the mob, has suffered multiple injuries on his head, neck, legs and back. The man is reportedly battling for life in a hospital.","A 25-year-old man was battling for life on Wednesday after he was assaulted by a mob which allegedly found him in a compromising position with a woman at a government-run centre in Jharkhand?s Bokaro town, police said.The man, identified as Sakib Ansari, was unconscious when police rescued him from the mob comprising 50-odd men. Doctors said Ansari suffered multiple injuries on his head, neck, legs and back.Over the past few months, several people have been lynched in the BJP-ruled state over charges ranging from raping women, smuggling cow,  and child-lifting. The latest incident took place at a Pragya Kendra, a government-run service centre that offer facilities such as linking Aadhaar number with other documents, issuing caste certificates, voter ID cards and PAN cards. When people turned up at the common service centre with their respective requisitions on Wednesday morning, they allegedly found Ansari half-naked with a woman at the Heena Market Pragya Kendra.He was dragged out of the office premises and beaten with sticks, belts, shoes and slippers by the mob.Ansari fell unconscious after the assault, but the mob continued thrashing him until the police intervened, sources said.The police rushed Ansari to the Bokaro General Hospital. He was yet to regain consciousness, doctors said.Bokaro deputy superintendent of police Poonam Minz said that the police have lodged an unnamed first information report against the mob, and arrested one Mantu Yadav in connection with the case.?We have arrested one, and are scanning the CCTV footage to identify others who assaulted the man,? she said.In April, a 25-year-old man was beaten to death in Saraikela Kharsawan for allegedly raping a five-year-old girl. On June 8, a 45-year-old man was lynched for allegedly raping a widow in Palamu and on June 27, another man was beaten to death by a mob for allegedly raping an eight-year-old girl in Dumka.Police deployed additional security forces across the affected area to prevent the incident from snowballing into a communal conflagration.?Rumour-mongers on social media too are under our scanner,? said a Bokaro police official working with the cyber cell of the district."
